Nombre,Estado,Partido,Correo,Comisiones
Isidro Enrique Villegas García,Veracruz,MORENA,enrique.villegas@diputados.gob.mx,"Asuntos Frontera Sur, Medio Ambiente y Recursos Naturales, Ciencia, Tecnología e Innovación"
Zaria Aguilera Claro,Estado de México,MORENA,zaria.aguilera@diputados.gob.mx,"Zonas Metropolitanas, Seguridad Ciudadana, Recursos Hidráulicos, Agua Potable y Saneamiento, Jurisdiccional"
Rocío Adriana Abreu Artiñano,Campeche,MORENA,rocio.abreu@diputados.gob.mx,"Salud, Hacienda y Crédito Público, Energía"
Juana Acosta Trujillo,Guanajuato,MORENA,juana.acosta@diputados.gob.mx,"Pesca, Ganadería, Economía Social y Fomento del Cooperativismo"
José Javier Aguirre Gallardo,Guanajuato,MORENA,jose.aguirre@diputados.gob.mx,"Vivienda, Infraestructura, Energía"
Luis Humberto Aldana Navarro,Quintana Roo,MORENA,luis.aldana@diputados.gob.mx,"Medio Ambiente y Recursos Naturales, Turismo, Reforma Política-Electoral"
Agustín Alonso Gutiérrez,Morelos,MORENA,agustin.alonso@diputados.gob.mx,"Jurisdiccional, Hacienda y Crédito Público, Educación, Defensa Nacional"
Jesús Emiliano Álvarez López,Ciudad de México,MORENA,jesus.alvarez@diputados.gob.mx,"Zonas Metropolitanas, Seguridad Social, Salud"
Mónica Angélica Álvarez Nemer,Estado de México,MORENA,monica.alvarez@diputados.gob.mx,"Presupuesto y Cuenta Pública, Energía, Economía, Comercio y Competitividad"
Raúl Álvarez Villaseñor,Jalisco,MORENA,raul.alvarez@diputados.gob.mx,"Presupuesto y Cuenta Pública, Marina, Energía"
Josefina Anaya Martínez,Estado de México,MORENA,josefina.anaya@diputados.gob.mx,"Turismo, Federalismo y Desarrollo Municipal, Economía Social y Fomento del Cooperativismo"
Sandra Anaya Villegas,Morelos,MORENA,sandra.anaya@diputados.gob.mx,"Seguridad Ciudadana, Energía, Deporte"
Daniel Andrade Zurutuza,Hidalgo,MORENA,daniel.andrade@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Presupuesto y Cuenta Pública, Jurisdiccional, Infraestructura"
